YEAR GRAD,STUDENT ID,AGE,RACE,GENDER,JOB STATUS,COMPANY NAME,JOB FIELD,STATE,PROGRAM ID,PROGRAM NAME,SALARY,CLASS MODE,COST,PROGRAM TYPE,AGE GROUP,AGE CLEAN
2023,BBMP21401,31,INDIA,MALE,BEKERJA SEPENUH MASA,QAV TECHOLOGIES SDN. BHD,OTHER,PULAU PINANG,402,NOT SPECIFIED,3450.00,ONLINE,2677,OTHER,30-39,31.0
2023,BBMP21402,29,INDIA,MALE,BEKERJA SEPENUH MASA,BBRAUN,OTHER,PULAU PINANG,402,NOT SPECIFIED,2600.00,ONLINE,1551,OTHER,<29,29.0
2023,BBMP21403,28,INDIA,MALE,BEKERJA SEPENUH MASA,PLEXUS,OTHER,KEDAH,402,NOT SPECIFIED,1900.00,ONLINE,1091,OTHER,<29,28.0
2023,BBMP21405,34,INDIA,MALE,BEKERJA SEPENUH MASA,JINKO SOLAR TECHNOLOGIES MALAYSIA,OTHER,KEDAH,402,NOT SPECIFIED,3200.00,ONLINE,2916,OTHER,30-39,34.0
2023,BBMP22101,40,MELAYU,MALE,BEKERJA SEPENUH MASA,VC ENGINEERING SDN BHD,OTHER,PULAU PINANG,402,NOT SPECIFIED,3600.00,ONLINE,1645,OTHER,40-49,40.0
2023,CDBK22101,44,INDIA,MALE,BEKERJA SEPENUH MASA,HCL TECHNOLOGIES MALAYSIA SDN BHD,MANUFACTURING,NEGERI SEMBILAN,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,10000.00,ONLINE,2951,DIPLOMA,40-49,44.0
2023,CDBK22111,48,MELAYU,MALE,BEKERJA SEPENUH MASA,SETIAUSAHA KERAJAAN NEGERI TERENGGANU,MANUFACTURING,TERENGGANU,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,4500.00,ONLINE,2359,DIPLOMA,40-49,48.0
2023,CDBK22112,45,MELAYU,FEMALE,BEKERJA SEPENUH MASA,TSYSTEMS NEDERLAND B.V,MANUFACTURING,SELANGOR,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,15000.00,ONLINE,3807,DIPLOMA,40-49,45.0
2023,CDBK22113,41,MELAYU,MALE,BEKERJA SEPENUH MASA,KANEKA MALAYSIA SDN BHD,MANUFACTURING,TERENGGANU,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,5500.00,ONLINE,3996,DIPLOMA,40-49,41.0
2023,CDBK22114,40,MELAYU,MALE,BEKERJA SEPENUH MASA,STEELCASE MALAYSIA,MANUFACTURING,MELAKA,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,6000.00,ONLINE,2979,DIPLOMA,40-49,40.0
2023,CDBK22115,43,MELAYU,MALE,BEKERJA SEPENUH MASA,MEEKA INTL SDN BHD,MANUFACTURING,SELANGOR,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,3000.00,ONLINE,3212,DIPLOMA,40-49,43.0
2023,CDBK22120,39,MELAYU,MALE,BEKERJA/USAHAWAN/FREELANCE,GRAB SDN BHD,MANUFACTURING,KUALA LUMPUR,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,2500.00,ONLINE,3469,DIPLOMA,30-39,39.0
2023,CDBK22126,40,MELAYU,MALE,BEKERJA SEPENUH MASA,PETRONAS CARIGALI SDN BHD,MANUFACTURING,PERAK,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,8000.00,ONLINE,2815,DIPLOMA,40-49,40.0
2023,CDBK22127,49,MELAYU,MALE,BEKERJA SEPENUH MASA,LEMBAGA TABUNG HAJI,MANUFACTURING,KELANTAN,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,6233.00,ONLINE,2965,DIPLOMA,40-49,49.0
2023,CDBK22128,42,MELAYU,MALE,BEKERJA SEPENUH MASA,SECURITIES COMMISSION MALAYSIA,MANUFACTURING,SELANGOR,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,15300.00,ONLINE,3457,DIPLOMA,40-49,42.0
2023,CDBK22129,48,MELAYU,MALE,BEKERJA SEPENUH MASA,CARIGALI SARAWAK OPERATION PETROLIAM NASIONAL BERHAD,MANUFACTURING,SARAWAK,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,8000.00,ONLINE,2508,DIPLOMA,40-49,48.0
2023,CDBK22134,45,MELAYU,MALE,BEKERJA SEPENUH MASA,E.A TECHNIQUE (M) BERHAD,MANUFACTURING,PAHANG,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,4300.00,ONLINE,3062,DIPLOMA,40-49,45.0
2023,CDBK22135,31,MELAYU,FEMALE,BEKERJA SEPENUH MASA,FIRDAUS & ASSOCIATES PROPERTY PROFESSIONALS,MANUFACTURING,JOHOR,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,2300.00,ONLINE,2953,DIPLOMA,30-39,31.0
2023,CDBK22202,33,MELAYU,MALE,BEKERJA SEPENUH MASA,SYLMAX HCS SDN BHD,MANUFACTURING,SARAWAK,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,3600.00,ONLINE,3049,DIPLOMA,30-39,33.0
2023,CDBK22203,45,TAMIL,MALE,BEKERJA SEPENUH MASA,WITNESS,MANUFACTURING,SELANGOR,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,10000.00,ONLINE,3087,DIPLOMA,40-49,45.0
2023,CDBK22207,31,MELAYU,MALE,BEKERJA SEPENUH MASA,ATOS SDN BHD,MANUFACTURING,SELANGOR,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,9200.00,ONLINE,2323,DIPLOMA,30-39,31.0
2023,CDBK22209,28,MELAYU,MALE,BEKERJA/USAHAWAN/FREELANCE,MUZSHOCK GLOBAL EMPIRE,MANUFACTURING,TERENGGANU,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,3000.00,ONLINE,2180,DIPLOMA,<29,28.0
2023,CDBK22211,75,MELAYU,MALE,BELUM/TIDAK BEKERJA,TIADA,MANUFACTURING,NEGERI SEMBILAN,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,6000.00,ONLINE,2727,DIPLOMA,60+,75.0
2023,CDBK22213,48,TAMIL,MALE,BEKERJA SEPENUH MASA,JL ARULNESAN ENTERPRISE,MANUFACTURING,SELANGOR,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,3500.00,ONLINE,3828,DIPLOMA,40-49,48.0
2023,CDBK22219,46,MELAYU,MALE,BEKERJA SEPENUH MASA,SITA.AERO INC B.V.,MANUFACTURING,PULAU PINANG,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,2900.00,ONLINE,2690,DIPLOMA,40-49,46.0
2023,CDBK22221,42,MELAYU,MALE,BEKERJA SEPENUH MASA,TT ONE CAPITAL HOLDING BERHAD,MANUFACTURING,SELANGOR,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,4000.00,ONLINE,3849,DIPLOMA,40-49,42.0
2023,CDBK22227,56,MELAYU,MALE,BEKERJA SEPARA MASA,WKA GLOBAL SERVICES SDN BHD,MANUFACTURING,SELANGOR,456,DIPLOMA PROFESIONAL BLOK RANTAI DALAM KEJURUTERAAN,2000.00,ONLINE,2380,DIPLOMA,50-59,56.0
2023,FBPB20307,31,CINA,FEMALE,BEKERJA SEPARA MASA,WITZ EDUCATION GROUP,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",JOHOR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,5000.00,ONLINE,5719,BACELOR,30-39,31.0
2023,FBTM21201,29,TAMIL,MALE,BEKERJA SEPENUH MASA,ROBERT BOSCH POWER TOOLS SDN BHD,MANUFACTURING,PULAU PINANG,415,BACELOR EKSEKUTIF TEKNOLOGI MEKATRONIK,2500.00,ONLINE,4944,BACELOR,<29,29.0
2023,FBTM21202,33,INDIA,MALE,BEKERJA SEPENUH MASA,SHIRAZ MARKET LINK (M) SDN BHD,MANUFACTURING,SELANGOR,415,BACELOR EKSEKUTIF TEKNOLOGI MEKATRONIK,3000.00,ONLINE,5000,BACELOR,30-39,33.0
2023,FBTM21203,39,INDIA,MALE,BEKERJA SEPENUH MASA,VENTURE ELECTRONIC SERVICE (M) SDN BHD,MANUFACTURING,KEDAH,415,BACELOR EKSEKUTIF TEKNOLOGI MEKATRONIK,2500.00,ONLINE,4273,BACELOR,30-39,39.0
2023,FBTM21205,29,INDIA,MALE,BEKERJA SEPENUH MASA,ALCON SINGAPORE MANUFACTURING PTE LTD,MANUFACTURING,KEDAH,415,BACELOR EKSEKUTIF TEKNOLOGI MEKATRONIK,5000.00,ONLINE,5931,BACELOR,<29,29.0
2023,FBTM21206,43,CINA,MALE,BEKERJA SEPENUH MASA,INETEST MALAYSIA SDN BHD,MANUFACTURING,PULAU PINANG,415,BACELOR EKSEKUTIF TEKNOLOGI MEKATRONIK,6280.00,ONLINE,4707,BACELOR,40-49,43.0
2023,FBTM21208,36,MELAYU,MALE,BEKERJA SEPENUH MASA,LAM RESEARCH INTERNATIONAL SDN BHD,MANUFACTURING,KEDAH,415,BACELOR EKSEKUTIF TEKNOLOGI MEKATRONIK,3500.00,ONLINE,5950,BACELOR,30-39,36.0
